variable,label
suffisant,"Au cours de ces 4 dernières semaines/30 jours, étiez-vous (ou un autre membre de votre ménage) obligé de dormir affamé le soir parce qu'il n'y avait pas assez de nourriture?"
repas_f,Combien de fois est-ce arrivé au cours de ces 4 dernières semaines?
manque,"Au cours des 4 dernières semaines/30 jours, avez-vous (ou un autre membre de votre ménage) passé un jour et une nuit entiers sans rien manger par ce qu'il n'y avait pas assez de nourriture?"
repas_m,Combien de fois est-ce arrivé au cours de ces 4 dernières semaines?
AME,AME
nb_bidon,Capacité totale des Bidons rigides (en litres)
nb_cass,Nombre de Casseroles de 5 litres et plus
nb_bas,Nombre de Bassines
nb_outil,Nombre d’outils aratoires utilisés pour travailler les champs
nb_couch,"Nombre de Supports de couchage (lits, matelas, nattes…)"
nb_couv,Nombre de Couverture/Draps
nb_habit_femme,Nombre d’Habits complets pour femme
nb_habit_e,Nombre d’Habits complets pour le plus jeune enfant en âge scolaire dans le ménage
nb_cale,Nombres de calebasses possédées par le ménage
nb_jarre,Nombre de jarres possédées par le ménage
nb_seau,Nombre de seaux possédés par le ménage
nb_pot,Nombre de pots possédés par le ménage
AME,AME
recipient,WASH
type_puisage,Type de récipients utilisés pour le puisage de l’eau
capacite,Capacité totale en litre
type_stockage,Type de récipients utilisés pour le stockage de l’eau
capacites,Capacité totale en litre
separer,Est-ce que vous séparez l’eau de boisson de l’eau pour d’autres usages ?
raison,Pourquoi ?
eau,Quelle est votre source en eau ?
recipient,WASH
agro,Le ménage pratique-t-il l’agriculture ?
date_agro,Depuis quand votre ménage pratique de l'agriculture?
culture,Quel type de culture est pratiqué par le ménage ?
marai,Avez-vous de l’expérience dans le commerce des produits issus du maraîchage ?
date_marai,Depuis quand pratiquez-vous le commerce de produits issus du maraîchage (nombre d’années) ?
vivri,Avez-vous de l’expérience dans le commerce des produits issus de la culture vivrière?
date_vivri,Depuis quand pratiquez-vous le commerce de produits issus de la culture vivrière (nombre d’années) ?
membre,D’autres membres de votre ménage sont-ils disponibles pour vous aider pour les activités agricoles ?
personne,Nombre de personnes aptes pour aider aux activités agricoles
age_agro,Age moyen
eau_point,Avez-vous accès à un point d’eau fonctionnel dans le cadre de vos activités agricoles ?
type_eau,Quel type de point d’eau
terre,Le ménage a-t-il accès à une parcelle de terre cultivable ?
outims,Avez-vous accès à des outils agricoles
asso,Etes vous membre d'une association agricole ?
protection,Protection
depl_bnf,"Dans l’hypothèse où une aide serait apportée aux populations dans votre zone (mais pas à proximité immédiate de votre foyer), seriez-vous prêts à vous déplacer afin de la recevoir ?"
depl_dist,Combien d'heure êtes-vous prêts à marcher dans la journée?
diff_deplac,"Dans le cas où vous devriez-vous déplacer pour la recevoir, pensez-vous pouvoir rencontrer des difficultés durant le trajet vers/au retour du site de distribution ?"
type_diff,"Oui, lesquelles ?"
protection,
remarques_enquete,Commentaires / Observations de l’enquêté
enquete,
